k1.1	step 0.0	0.00000000e+00	3.80000000e-07	9.75000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.2	step 0.0	0.00000000e+00	3.80000000e-07	9.50000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.3	step 0.0	0.00000000e+00	3.80000000e-07	9.25000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.4	step 0.0	0.00000000e+00	3.80000000e-07	9.00000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.5	step 0.0	0.00000000e+00	3.80000000e-07	8.75000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.6	step 0.0	0.00000000e+00	3.80000000e-07	8.50000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.7	step 0.0	0.00000000e+00	3.80000000e-07	8.25000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.8	step 0.0	0.00000000e+00	3.80000000e-07	8.00000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.9	step 0.0	0.00000000e+00	3.80000000e-07	7.75000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.10	step 0.0	0.00000000e+00	3.80000000e-07	7.50000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.11	step 0.0	0.00000000e+00	3.80000000e-07	7.25000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.12	step 0.0	0.00000000e+00	3.80000000e-07	7.00000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.13	step 0.0	0.00000000e+00	3.80000000e-07	6.75000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.14	step 0.0	0.00000000e+00	3.80000000e-07	6.50000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.15	step 0.0	0.00000000e+00	3.80000000e-07	6.25000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.16	step 0.0	0.00000000e+00	3.80000000e-07	6.00000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.17	step 0.0	0.00000000e+00	3.80000000e-07	5.75000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
k1.18	step 0.0	0.00000000e+00	3.80000000e-07	5.50000000e-07	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0	0.0	0.0	2.000	2.000	2.500
MT1.	step 0.0	0.00000000e+00	2.20000000e-07	9.00000000e-07	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	-1.0000	0.0000	0.0	0.0	0.0	2.000	2.000	30.000
